rank,layer,feature_id,abs_delta_sum,signed_delta_sum,donor_mean,recipient_mean,donor_active_fraction,recipient_active_fraction,token_count
223,20,8194,7.987049102783203,-7.987049102783203,0.531653086344401,1.1972405115763347,0.16666666666666666,0.3333333333333333,12
224,20,5279,7.983757972717285,-5.58640193939209,3.6809511184692383,4.1464846928914385,0.8333333333333334,0.8333333333333334,12
225,20,14533,7.860596656799316,-7.860596656799316,0.0,0.655049721399943,0.0,0.16666666666666666,12
226,20,5647,7.780457019805908,7.780457019805908,1.4830164909362793,0.8346451123555502,0.3333333333333333,0.25,12
227,20,15680,7.779743194580078,5.144199371337891,2.3133349418640137,1.8846516609191895,0.75,0.5833333333333334,12
228,20,4375,7.778367042541504,7.778367042541504,1.3522281646728516,0.7040309906005859,0.3333333333333333,0.16666666666666666,12
229,20,12486,7.716322898864746,7.716322898864746,0.9036033153533936,0.26057640711466473,0.25,0.08333333333333333,12
230,20,4092,7.702956199645996,-7.702956199645996,0.813080628712972,1.4549935658772786,0.25,0.4166666666666667,12
231,20,5945,7.693809509277344,-7.693809509277344,0.767151673634847,1.4083024660746257,0.16666666666666666,0.3333333333333333,12
232,20,14135,7.689080238342285,7.689080238342285,0.8814481894175211,0.2406915028889974,0.25,0.08333333333333333,12
233,20,12652,7.664844512939453,-6.500723838806152,0.9488808314005533,1.4906078974405925,0.25,0.4166666666666667,12
234,20,598,7.5949602127075195,-7.5949602127075195,0.28138526280721027,0.9142986138661703,0.08333333333333333,0.25,12
235,20,2799,7.5889387130737305,7.5889387130737305,0.6324115594228109,0.0,0.16666666666666666,0.0,12
236,20,1857,7.567458152770996,-7.567458152770996,0.0,0.6306215127309164,0.0,0.16666666666666666,12
237,20,9308,7.567014217376709,-0.07410192489624023,2.18159548441569,2.1877705256144204,0.4166666666666667,0.5,12
238,20,12308,7.5512895584106445,2.126763343811035,0.9498630364735922,0.7726327578226725,0.25,0.25,12
239,20,9075,7.539767265319824,-1.003286361694336,1.351434866587321,1.4350420633951824,0.4166666666666667,0.4166666666666667,12
240,20,8611,7.5294294357299805,6.9474287033081055,1.9200137456258137,1.341061274210612,0.4166666666666667,0.3333333333333333,12
241,20,10961,7.463159561157227,7.463159561157227,0.8423622449239095,0.22043232123057047,0.25,0.08333333333333333,12
242,20,1100,7.4510087966918945,-6.863720893859863,1.1149498621622722,1.6869266827901204,0.3333333333333333,0.5,12
243,20,2223,7.41979455947876,-5.710690021514893,4.11649735768636,4.592388153076172,0.9166666666666666,1.0,12
244,20,4480,7.4155988693237305,6.230536460876465,1.8824399312337239,1.3632286389668782,0.5833333333333334,0.4166666666666667,12
245,20,12888,7.386992454528809,4.875555992126465,1.313257376352946,0.9069610436757406,0.4166666666666667,0.25,12
246,20,11219,7.349228858947754,7.349228858947754,0.9125127792358398,0.30007700125376385,0.25,0.08333333333333333,12
