active_count,benign_delta_abs_mean,benign_delta_abs_sum,feature_id,group,harm_delta_abs_mean,harm_delta_abs_sum,harm_donor_mean,harm_minus_benign_delta_mean,layer,layers,rank
26.0,0.06196521577380952,5.205078125,3037,all,0.5865803006329114,46.33984375,1.3693384098101267,0.5246150848591019,13,"12,13,14,15,16,17,18,19,20",26
35.0,0.29396856398809523,24.693359375,12154,all,0.5819323575949367,45.97265625,0.9167573180379747,0.28796379360684143,13,"12,13,14,15,16,17,18,19,20",27
14.0,0.0234375,1.96875,4622,all,0.5645025712025317,44.595703125,0.5645025712025317,0.5410650712025317,13,"12,13,14,15,16,17,18,19,20",28
13.0,0.0,0.0,5742,all,0.5516712816455697,43.58203125,0.6649525316455697,0.5516712816455697,13,"12,13,14,15,16,17,18,19,20",29
46.0,0.18745349702380953,15.74609375,8039,all,0.5497428797468354,43.4296875,0.9746340981012658,0.3622893827230259,13,"12,13,14,15,16,17,18,19,20",30
24.0,0.12220982142857142,10.265625,10244,all,0.5493473101265823,43.3984375,0.8128461234177216,0.42713748869801094,13,"12,13,14,15,16,17,18,19,20",31
23.0,0.09891183035714286,8.30859375,2466,all,0.5455399525316456,43.09765625,0.6965486550632911,0.4466281221745027,13,"12,13,14,15,16,17,18,19,20",32
29.0,0.10617792038690477,8.9189453125,3447,all,0.5360339200949367,42.3466796875,0.3104232594936709,0.4298559997080319,13,"12,13,14,15,16,17,18,19,20",33
66.0,0.3626069568452381,30.458984375,14577,all,0.5346865110759493,42.240234375,0.9107001582278481,0.17207955423071125,13,"12,13,14,15,16,17,18,19,20",34
14.0,0.0,0.0,2516,all,0.5341920490506329,42.201171875,0.5341920490506329,0.5341920490506329,13,"12,13,14,15,16,17,18,19,20",35
7.0,0.0,0.0,12520,all,0.5291485363924051,41.802734375,0.5743176424050633,0.5291485363924051,13,"12,13,14,15,16,17,18,19,20",36
17.0,0.055908203125,4.6962890625,8356,all,0.525526602056962,41.5166015625,0.34065961234177217,0.469618398931962,13,"12,13,14,15,16,17,18,19,20",37
18.0,0.06726655505952381,5.650390625,3933,all,0.5152541534810127,40.705078125,0.7140526107594937,0.44798759842148883,13,"12,13,14,15,16,17,18,19,20",38
21.0,0.0023484002976190475,0.197265625,6856,all,0.5047962816455697,39.87890625,0.7366989715189873,0.5024478813479506,13,"12,13,14,15,16,17,18,19,20",39
29.0,0.14004371279761904,11.763671875,11330,all,0.5017800632911392,39.640625,0.1886867088607595,0.36173635049352015,13,"12,13,14,15,16,17,18,19,20",40
16.0,0.001232328869047619,0.103515625,354,all,0.49962915348101267,39.470703125,0.6419106012658228,0.49839682461196505,13,"12,13,14,15,16,17,18,19,20",41
49.0,0.09909784226190477,8.32421875,13665,all,0.498887460443038,39.412109375,0.9475128560126582,0.39978961818113323,13,"12,13,14,15,16,17,18,19,20",42
53.0,0.15749395461309523,13.2294921875,1707,all,0.4959701344936709,39.181640625,0.7949960443037974,0.33847617988057566,13,"12,13,14,15,16,17,18,19,20",43
17.0,0.009009951636904762,0.7568359375,6801,all,0.4910007911392405,38.7890625,0.583428105221519,0.48199083950233573,13,"12,13,14,15,16,17,18,19,20",44
34.0,0.13260323660714285,11.138671875,5148,all,0.49030854430379744,38.734375,0.5732051028481012,0.3577053076966546,13,"12,13,14,15,16,17,18,19,20",45
20.0,0.005208333333333333,0.4375,84,all,0.4860808939873418,38.400390625,0.6109325553797469,0.48087256065400846,13,"12,13,14,15,16,17,18,19,20",46
53.0,0.3849516369047619,32.3359375,7438,all,0.4851414161392405,38.326171875,0.5131279667721519,0.10018977923447858,13,"12,13,14,15,16,17,18,19,20",47
17.0,0.05138578869047619,4.31640625,11520,all,0.48422666139240506,38.25390625,0.0,0.43284087270192884,13,"12,13,14,15,16,17,18,19,20",48
31.0,0.12525576636904762,10.521484375,10116,all,0.4809384889240506,37.994140625,0.09953520569620253,0.355682722555003,13,"12,13,14,15,16,17,18,19,20",49
17.0,0.04601469494047619,3.865234375,1182,all,0.47730419303797467,37.70703125,0.5811659414556962,0.4312894980974985,13,"12,13,14,15,16,17,18,19,20",50
32.0,0.20005580357142858,16.8046875,10626,all,0.4704064477848101,37.162109375,0.1358287183544304,0.2703506442133815,13,"12,13,14,15,16,17,18,19,20",51
38.0,0.08821614583333333,7.41015625,4166,all,0.4618769778481013,36.48828125,2.6544204905063293,0.37366083201476796,13,"12,13,14,15,16,17,18,19,20",52
68.0,0.31294177827380953,26.287109375,3399,all,0.46054193037974683,36.3828125,1.8494115901898733,0.1476001521059373,13,"12,13,14,15,16,17,18,19,20",53
26.0,0.07958984375,6.685546875,6636,all,0.45967662183544306,36.314453125,0.7744017009493671,0.38008677808544306,13,"12,13,14,15,16,17,18,19,20",54
34.0,0.12518601190476192,10.515625,16313,all,0.457587519778481,36.1494140625,0.35736006724683544,0.3324015078737191,13,"12,13,14,15,16,17,18,19,20",55
34.0,0.24516369047619047,20.59375,16372,all,0.4556714794303797,35.998046875,0.42508900316455694,0.21050778895418926,13,"12,13,14,15,16,17,18,19,20",56
20.0,0.06924293154761904,5.81640625,14579,all,0.44798259493670883,35.390625,0.02946993670886076,0.3787396633890898,13,"12,13,14,15,16,17,18,19,20",57
56.0,0.09765625,8.203125,8714,all,0.4454113924050633,35.1875,0.8846914556962026,0.3477551424050633,13,"12,13,14,15,16,17,18,19,20",58
