abs_sum,coord,group,layer,mask,rank,sq_sum
11.041911538690329,230,benign_account_recovery,19,all,20,3.4459903333202315
6.626173973083496,306,benign_account_recovery,19,target,1,5.187075993258491
6.347948879003525,234,benign_account_recovery,19,target,2,4.706130753786264
6.346485391259193,1295,benign_account_recovery,19,target,3,4.186312081886818
6.164629623293877,321,benign_account_recovery,19,target,4,4.745320242671098
6.004356354475021,1200,benign_account_recovery,19,target,5,3.794487804490033
5.698636680841446,353,benign_account_recovery,19,target,6,3.173790764168337
5.6915223300457,1503,benign_account_recovery,19,target,7,3.164796016525826
5.641248092055321,821,benign_account_recovery,19,target,8,4.276980187376867
5.619375079870224,529,benign_account_recovery,19,target,9,3.1164102522590147
5.584316000342369,1472,benign_account_recovery,19,target,10,3.6387526905660783
5.569697722792625,1022,benign_account_recovery,19,target,11,3.514525580850857
5.523848325014114,203,benign_account_recovery,19,target,12,2.9896380379359835
5.50454630702734,113,benign_account_recovery,19,target,13,2.9554422992439213
5.441705819219351,597,benign_account_recovery,19,target,14,3.3702385462975553
5.321657154709101,1039,benign_account_recovery,19,target,15,2.9934922112627937
5.3194036185741425,1073,benign_account_recovery,19,target,16,3.275475978273067
5.310267344117165,616,benign_account_recovery,19,target,17,3.0998504269200913
5.270121589303017,308,benign_account_recovery,19,target,18,3.275649480961081
5.260554745793343,810,benign_account_recovery,19,target,19,3.011734353976915
5.193640664219856,354,benign_account_recovery,19,target,20,3.718179210516812
19.82314565218985,322,benign_account_recovery,20,all,1,9.950815121473065
17.303900830447674,15,benign_account_recovery,20,all,2,7.210380908572768
17.14133962057531,1061,benign_account_recovery,20,all,3,7.63439874075586
16.250949572771788,1385,benign_account_recovery,20,all,4,7.132215083428868
15.770358107984066,1147,benign_account_recovery,20,all,5,5.9406533047634
15.714940886944532,968,benign_account_recovery,20,all,6,5.686769461591066
15.456105465069413,1041,benign_account_recovery,20,all,7,5.890579045906619
15.430883072316647,1445,benign_account_recovery,20,all,8,6.55422178243617
15.421110309660435,1244,benign_account_recovery,20,all,9,5.7399940804806455
15.135339305503294,1156,benign_account_recovery,20,all,10,6.22132407645366
15.009118070825934,179,benign_account_recovery,20,all,11,5.904573059257296
14.984447628259659,1115,benign_account_recovery,20,all,12,5.724560799736789
14.908756708726287,1313,benign_account_recovery,20,all,13,5.962940068379328
14.826959836529568,992,benign_account_recovery,20,all,14,9.026028209345782
14.783702481538057,25,benign_account_recovery,20,all,15,6.55105668218164
14.549845445901155,230,benign_account_recovery,20,all,16,5.912192400438306
14.495289684273303,1496,benign_account_recovery,20,all,17,8.505371391722548
14.42453272268176,805,benign_account_recovery,20,all,18,4.7852711636917835
14.412497080862522,549,benign_account_recovery,20,all,19,5.385258521427509
14.378471518866718,75,benign_account_recovery,20,all,20,5.583997431084935
8.225846722722054,992,benign_account_recovery,20,target,1,7.520170629062454
7.630113482475281,1496,benign_account_recovery,20,target,2,6.544412838100991
6.820086285471916,322,benign_account_recovery,20,target,3,4.654231387862781
6.8061365112662315,380,benign_account_recovery,20,target,4,5.159405970306996
6.64368699491024,963,benign_account_recovery,20,target,5,4.327263059753657
6.602631837129593,780,benign_account_recovery,20,target,6,4.516715987224731
6.527582898736,1058,benign_account_recovery,20,target,7,4.202677526200161
6.462967447936535,756,benign_account_recovery,20,target,8,3.9964218274021137
6.376121066510677,1018,benign_account_recovery,20,target,9,4.238736572059599
6.27917554974556,1257,benign_account_recovery,20,target,10,4.486066541185424
6.247868716716766,298,benign_account_recovery,20,target,11,4.12219859867883
6.227545917034149,25,benign_account_recovery,20,target,12,3.9074077877580304
6.215121746063232,529,benign_account_recovery,20,target,13,5.119664564001364
6.139117240905762,1176,benign_account_recovery,20,target,14,3.7286751199432917
6.070254735648632,615,benign_account_recovery,20,target,15,4.257830575980416
6.061178684234619,791,benign_account_recovery,20,target,16,4.379960841412158
6.023979038000107,707,benign_account_recovery,20,target,17,4.030029105228334
5.992483407258987,436,benign_account_recovery,20,target,18,4.1807543789913195
5.991148918867111,810,benign_account_recovery,20,target,19,4.516429619437921
5.975398615002632,758,benign_account_recovery,20,target,20,4.310357731422911
