a_energy_in_b_top1024,a_energy_in_b_top256,a_energy_in_b_top512,a_energy_in_b_top64,b_energy_in_a_top1024,b_energy_in_a_top256,b_energy_in_a_top512,b_energy_in_a_top64,group_a,group_b,layer,mask,mean_residual_cosine,top1024_jaccard,top256_jaccard,top512_jaccard,top64_jaccard
0.7481689549200841,0.22932020092057964,0.41851084301039854,0.06887827433805108,0.7488840522952129,0.22899981680991535,0.4191748505894333,0.06855353552360974,benign_account_recovery,benign_remove_tracking,17,all,0.8778149485588074,0.7066666666666667,0.4586894586894587,0.5468277945619335,0.4222222222222222
0.7297132735021005,0.20884008896240178,0.3891194371643508,0.059394684924401746,0.7205284375668142,0.20413279926743044,0.3849639516192429,0.05832996513674576,benign_account_recovery,one_time_code,17,all,0.6949403285980225,0.6476267095736122,0.32987012987012987,0.4301675977653631,0.26732673267326734
0.7386441014747501,0.21703755092112179,0.40337622230962455,0.0668056909635,0.7425378587567455,0.22514705201787566,0.4078895620091977,0.07112305921634282,benign_account_recovery,permission_slip,17,all,0.7750308513641357,0.6842105263157895,0.3875338753387534,0.46494992846924177,0.391304347826087
0.7419474737313797,0.22279238187468225,0.4062985102132786,0.06756262557973702,0.7463011321369861,0.22637323457025887,0.4144652454573402,0.07083771458411356,benign_account_recovery,tracking_original,17,all,0.8360178470611572,0.6981757877280266,0.4222222222222222,0.5170370370370371,0.3617021276595745
0.7336875918153789,0.21009125195646525,0.3968731222747934,0.059024733292978505,0.7265676773711579,0.20266299024801657,0.38715312914778865,0.05724709366685059,benign_remove_tracking,one_time_code,17,all,0.6853875517845154,0.6704730831973899,0.32642487046632124,0.4361851332398317,0.23076923076923078
0.7374213134137668,0.21659295409038415,0.4046454870238595,0.06631285085847553,0.7384970920353707,0.2250041396611336,0.4081177185007839,0.06813472731174801,benign_remove_tracking,permission_slip,17,all,0.7937062382698059,0.6677524429967426,0.3726541554959786,0.47763347763347763,0.30612244897959184
0.7683211921929682,0.24075453132885827,0.4324574305622256,0.07248516737594625,0.7666818349711612,0.24535351032350383,0.4335070883487761,0.07505067520921077,benign_remove_tracking,tracking_original,17,all,0.9359021186828613,0.7716262975778547,0.5515151515151515,0.5875968992248062,0.45454545454545453
0.7283786743460507,0.20868776111890536,0.3878595218204022,0.05681335716072384,0.7341734892455043,0.2154362590238127,0.40000766717789743,0.0612041962297471,one_time_code,permission_slip,17,all,0.7293834090232849,0.6677524429967426,0.3544973544973545,0.4361851332398317,0.24271844660194175
0.7273847602015331,0.2057643766171122,0.38452361014721503,0.05648767554852141,0.7363797548503335,0.21612497683185322,0.39792441454675875,0.06089714792861354,one_time_code,tracking_original,17,all,0.6945294141769409,0.6623376623376623,0.3368146214099217,0.44022503516174405,0.23076923076923078
0.7434290462560004,0.2219964417451975,0.4039607647534001,0.06862319859945482,0.7406240928181423,0.22076994656516558,0.40672153616085366,0.07012228067975894,permission_slip,tracking_original,17,all,0.8122423887252808,0.6869851729818781,0.3689839572192513,0.4670487106017192,0.31958762886597936
