condition,max_i_minus_it,mean_i_minus_it,min_i_minus_it,n,split,top_i_rate,top_it_rate
bundle_patch_random_seed240524_top33_k14_051,-3.9453125,-3.9453125,-3.9453125,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_051,-0.125,-0.125,-0.125,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_052,-3.9453125,-3.9453125,-3.9453125,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_052,-0.0625,-0.0625,-0.0625,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_053,-3.9765625,-3.9765625,-3.9765625,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_053,-0.4375,-0.4375,-0.4375,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_054,-3.9765625,-3.9765625,-3.9765625,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_054,-0.46875,-0.46875,-0.46875,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_055,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_055,-0.5,-0.5,-0.5,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_056,-3.953125,-3.953125,-3.953125,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_056,-0.578125,-0.578125,-0.578125,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_057,-3.9609375,-3.9609375,-3.9609375,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_057,-0.125,-0.125,-0.125,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_058,-3.953125,-3.953125,-3.953125,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_058,-0.578125,-0.578125,-0.578125,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_059,-3.9609375,-3.9609375,-3.9609375,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_059,-0.09375,-0.09375,-0.09375,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_060,-3.9765625,-3.9765625,-3.9765625,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_060,-0.125,-0.125,-0.125,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_061,-3.953125,-3.953125,-3.953125,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_061,-0.078125,-0.078125,-0.078125,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_062,-3.953125,-3.953125,-3.953125,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_062,-0.0625,-0.0625,-0.0625,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_063,-3.9765625,-3.9765625,-3.9765625,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_063,-0.140625,-0.140625,-0.140625,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_064,-3.953125,-3.953125,-3.953125,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_064,-0.09375,-0.09375,-0.09375,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_065,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_065,-0.09375,-0.09375,-0.09375,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_066,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_066,-0.46875,-0.46875,-0.46875,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_067,-3.9765625,-3.9765625,-3.9765625,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_067,-0.015625,-0.015625,-0.015625,1,harmful,0.0,1.0
