rank,layer,feature_id,positive_alignment,signed_alignment,contribution_norm,feature_delta_abs,donor_mean,recipient_mean,active_fraction,token_count
87,20,8276,70.32856750488281,70.32856750488281,136.7550048828125,2.359375,0.854736328125,0.850537109375,0.01875,160
88,20,3478,70.085693359375,70.085693359375,177.95640563964844,6.85546875,1.1122314453125,1.086083984375,0.225,160
89,20,12236,69.42739868164062,69.42739868164062,41.116764068603516,0.8515625,0.256982421875,0.26181640625,0.03125,160
90,20,9215,69.2753677368164,69.2753677368164,38.894371032714844,0.890625,0.2430908203125,0.2388916015625,0.05625,160
91,20,11806,69.03998565673828,69.03998565673828,43.46506118774414,5.02734375,0.2716552734375,0.289013671875,0.025,160
92,20,2890,68.89409637451172,68.89409637451172,65.7269287109375,1.328125,0.410791015625,0.412255859375,0.05625,160
93,20,6884,68.54658508300781,68.54658508300781,103.35003662109375,2.40625,0.645947265625,0.654736328125,0.06875,160
94,20,5307,68.29280853271484,68.29280853271484,56.39453125,4.34765625,0.3524658203125,0.33154296875,0.01875,160
95,20,1709,67.98816680908203,67.98816680908203,109.21035766601562,0.78125,0.682568359375,0.680029296875,0.0375,160
96,20,8513,67.56046295166016,67.56046295166016,204.0454864501953,7.84375,1.27529296875,1.31611328125,0.125,160
97,20,485,66.24298858642578,66.24298858642578,71.27317810058594,1.4453125,0.445458984375,0.4453125,0.05625,160
98,20,7622,64.05004119873047,64.05004119873047,160.29025268554688,1.953125,1.001806640625,0.997216796875,0.05,160
99,20,7761,62.95716857910156,62.95716857910156,15.031180381774902,0.453125,0.0939453125,0.09111328125,0.01875,160
100,20,5179,62.61768341064453,62.61768341064453,47.976749420166016,1.5859375,0.299853515625,0.30048828125,0.06875,160
101,20,4970,61.612789154052734,61.612789154052734,44.78911209106445,2.8359375,0.279931640625,0.297265625,0.05,160
102,20,7171,61.423927307128906,61.423927307128906,25.062524795532227,0.328125,0.156640625,0.15732421875,0.01875,160
103,20,11981,60.111778259277344,60.111778259277344,42.78895950317383,0.71875,0.267431640625,0.265673828125,0.01875,160
104,20,12277,58.918609619140625,58.918609619140625,80.76213073730469,3.2890625,0.5047607421875,0.4882080078125,0.0625,160
105,20,11287,58.738746643066406,58.738746643066406,9.906399726867676,3.16015625,0.0619140625,0.0421630859375,0.00625,160
106,20,12963,57.511295318603516,57.511295318603516,74.63307189941406,9.89453125,0.466455078125,0.4077392578125,0.075,160
