rank,layer,feature_id,positive_alignment,signed_alignment,contribution_norm,feature_delta_abs,donor_mean,recipient_mean,active_fraction,token_count
1677,20,3031,4.830340385437012,4.830340385437012,2.99609112739563,0.15625,0.0187255859375,0.0177490234375,0.00625,160
1678,20,13909,4.82948112487793,4.82948112487793,3.1406617164611816,0.125,0.01962890625,0.01884765625,0.00625,160
1679,20,12087,4.826043128967285,4.826043128967285,2.9922091960906982,0.0,0.018701171875,0.018701171875,0.00625,160
1680,20,9051,4.821697235107422,4.821697235107422,10.152392387390137,0.37890625,0.0634521484375,0.0658203125,0.01875,160
1681,20,7999,4.812912940979004,4.812912940979004,3.433548927307129,0.0546875,0.0214599609375,0.0211181640625,0.00625,160
1682,20,9980,4.810996055603027,4.810996055603027,3.093756675720215,0.015625,0.0193359375,0.01943359375,0.00625,160
1683,20,16322,4.805791854858398,4.805791854858398,3.437452554702759,0.015625,0.021484375,0.02138671875,0.00625,160
1684,20,10751,4.8014302253723145,4.8014302253723145,3.0859885215759277,0.078125,0.019287109375,0.019775390625,0.00625,160
1685,20,15884,4.799072742462158,4.799072742462158,23.48047637939453,1.0234375,0.1467529296875,0.1446044921875,0.0375,160
1686,20,2397,4.796710014343262,4.796710014343262,3.8593943119049072,0.0078125,0.02412109375,0.024169921875,0.00625,160
1687,20,4434,4.790017127990723,4.790017127990723,3.171816110610962,0.26953125,0.01982421875,0.0181396484375,0.00625,160
1688,20,344,4.777825832366943,4.777825832366943,3.1484642028808594,3.0,0.019677734375,0.037646484375,0.00625,160
1689,20,13642,4.773616313934326,4.773616313934326,6.0234174728393555,0.0546875,0.037646484375,0.03740234375,0.0125,160
1690,20,756,4.7635016441345215,4.7635016441345215,6.82809591293335,0.03125,0.04267578125,0.04248046875,0.0125,160
1691,20,320,4.761011123657227,4.761011123657227,20.273422241210938,0.4765625,0.126708984375,0.12431640625,0.03125,160
1692,20,1668,4.7562255859375,4.7562255859375,2.7968764305114746,2.796875,0.01748046875,0.0,0.00625,160
1693,20,6184,4.754516124725342,4.754516124725342,15.496052742004395,1.1171875,0.0968505859375,0.0898681640625,0.01875,160
1694,20,3960,4.752490043640137,4.752490043640137,7.347639560699463,0.09765625,0.0459228515625,0.0453125,0.0125,160
1695,20,16115,4.75059175491333,4.75059175491333,3.484372615814209,0.08984375,0.02177734375,0.0212158203125,0.00625,160
1696,20,7641,4.746960639953613,4.746960639953613,7.230590343475342,0.06640625,0.0451904296875,0.044775390625,0.0125,160
1697,20,1583,4.7435078620910645,4.7435078620910645,12.546953201293945,0.125,0.07841796875,0.07919921875,0.0125,160
1698,20,12988,4.736100196838379,4.736100196838379,4.171886920928955,0.171875,0.02607421875,0.0271484375,0.00625,160
1699,20,9514,4.7316107749938965,4.7316107749938965,3.1093590259552,0.015625,0.01943359375,0.0193359375,0.00625,160
1700,20,5259,4.729910850524902,4.729910850524902,5.92967414855957,2.8515625,0.037060546875,0.05439453125,0.0125,160
1701,20,11110,4.726448059082031,4.726448059082031,6.3592848777771,0.2265625,0.03974609375,0.041162109375,0.0125,160
1702,20,36,4.726387977600098,4.726387977600098,11.347678184509277,1.29296875,0.0709228515625,0.062841796875,0.0125,160
1703,20,7501,4.722236156463623,4.722236156463623,3.0859389305114746,0.0625,0.019287109375,0.018896484375,0.00625,160
1704,20,1902,4.7194108963012695,4.7194108963012695,3.2187564373016357,0.06640625,0.0201171875,0.0205322265625,0.00625,160
1705,20,10285,4.716465473175049,4.716465473175049,2.828138828277588,0.15625,0.01767578125,0.01669921875,0.00625,160
1706,20,10510,4.71408224105835,4.71408224105835,12.722695350646973,0.1953125,0.0795166015625,0.0794677734375,0.01875,160
1707,20,8828,4.711010932922363,4.711010932922363,2.8476836681365967,0.015625,0.0177978515625,0.0178955078125,0.00625,160
1708,20,10434,4.710821151733398,4.710821151733398,6.093786239624023,0.0859375,0.0380859375,0.037548828125,0.00625,160
1709,20,12038,4.704324245452881,4.704324245452881,4.093771934509277,0.1640625,0.0255859375,0.026611328125,0.00625,160
1710,20,8707,4.70180606842041,4.70180606842041,2.6406290531158447,0.1796875,0.01650390625,0.017626953125,0.00625,160
1711,20,16008,4.699901580810547,4.699901580810547,6.4296417236328125,0.2265625,0.040185546875,0.03876953125,0.0125,160
1712,20,3098,4.692192554473877,4.692192554473877,7.132810592651367,0.171875,0.044580078125,0.043505859375,0.0125,160
1713,20,12095,4.685154438018799,4.685154438018799,28.019575119018555,0.50390625,0.1751220703125,0.177734375,0.04375,160
1714,20,7328,4.681636810302734,4.681636810302734,5.359395980834961,0.1171875,0.03349609375,0.032763671875,0.00625,160
1715,20,5256,4.679699897766113,4.679699897766113,5.45311975479126,0.09375,0.03408203125,0.03466796875,0.00625,160
1716,20,15647,4.677822113037109,4.677822113037109,9.960843086242676,0.2890625,0.062255859375,0.06201171875,0.01875,160
1717,20,14404,4.669923782348633,4.669923782348633,2.828176498413086,0.1015625,0.01767578125,0.018310546875,0.00625,160
1718,20,11003,4.668418884277344,4.668418884277344,18.581953048706055,3.16015625,0.1161376953125,0.133056640625,0.03125,160
1719,20,11556,4.661584854125977,4.661584854125977,27.693679809570312,0.68359375,0.17308349609375,0.17213134765625,0.05,160
1720,20,6408,4.657434940338135,4.657434940338135,12.269450187683105,0.484375,0.0766845703125,0.0747314453125,0.01875,160
1721,20,4424,4.650346279144287,4.650346279144287,22.132965087890625,3.41796875,0.138330078125,0.1169677734375,0.03125,160
1722,20,1312,4.650036334991455,4.650036334991455,6.61722469329834,3.34765625,0.041357421875,0.0622802734375,0.0125,160
1723,20,13915,4.64970588684082,4.64970588684082,2.914057731628418,0.0,0.018212890625,0.018212890625,0.00625,160
1724,20,13126,4.639068126678467,4.639068126678467,2.7031185626983643,0.34375,0.01689453125,0.01904296875,0.00625,160
1725,20,9204,4.638729095458984,4.638729095458984,2.7031331062316895,0.00390625,0.01689453125,0.0168701171875,0.00625,160
1726,20,7713,4.637485504150391,4.637485504150391,6.796844959259033,0.09375,0.04248046875,0.0423828125,0.0125,160
1727,20,7072,4.620024681091309,4.620024681091309,2.8281307220458984,0.2265625,0.01767578125,0.016259765625,0.00625,160
1728,20,4684,4.616998195648193,4.616998195648193,11.566434860229492,0.421875,0.0722900390625,0.0696533203125,0.01875,160
1729,20,11351,4.612390518188477,4.612390518188477,20.031261444091797,0.203125,0.1251953125,0.12646484375,0.0125,160
1730,20,15863,4.608273506164551,4.608273506164551,3.6269044876098633,0.015625,0.02266845703125,0.02257080078125,0.00625,160
