source_bundle,pool_bundle,variant,drop_index,dropped_layer,dropped_feature_id,add_index,added_layer,added_feature_id,source_feature_count,pool_extra_count,selected_features,features
critical12_p10_p22_drop_rank002_rank020,prompt_delta_top33,swap1_critical12_p10_p22_drop_rank002_rank020_drop_f12704_add_f12002,3,20,12704,11,20,12002,12,21,12,"20:1338,20:4339,20:6289,20:8754,20:8775,20:9135,20:9149,20:12002,20:12652,20:13622,20:14991,20:15169"
critical12_p10_p22_drop_rank002_rank020,prompt_delta_top33,swap1_critical12_p10_p22_drop_rank002_rank020_drop_f12704_add_f9001,3,20,12704,12,20,9001,12,21,12,"20:1338,20:4339,20:6289,20:8754,20:8775,20:9001,20:9135,20:9149,20:12652,20:13622,20:14991,20:15169"
critical12_p10_p22_drop_rank002_rank020,prompt_delta_top33,swap1_critical12_p10_p22_drop_rank002_rank020_drop_f12704_add_f9024,3,20,12704,13,20,9024,12,21,12,"20:1338,20:4339,20:6289,20:8754,20:8775,20:9024,20:9135,20:9149,20:12652,20:13622,20:14991,20:15169"
critical12_p10_p22_drop_rank002_rank020,prompt_delta_top33,swap1_critical12_p10_p22_drop_rank002_rank020_drop_f12704_add_f4326,3,20,12704,14,20,4326,12,21,12,"20:1338,20:4326,20:4339,20:6289,20:8754,20:8775,20:9135,20:9149,20:12652,20:13622,20:14991,20:15169"
critical12_p10_p22_drop_rank002_rank020,prompt_delta_top33,swap1_critical12_p10_p22_drop_rank002_rank020_drop_f12704_add_f11545,3,20,12704,15,20,11545,12,21,12,"20:1338,20:4339,20:6289,20:8754,20:8775,20:9135,20:9149,20:11545,20:12652,20:13622,20:14991,20:15169"
critical12_p10_p22_drop_rank002_rank020,prompt_delta_top33,swap1_critical12_p10_p22_drop_rank002_rank020_drop_f12704_add_f7531,3,20,12704,16,20,7531,12,21,12,"20:1338,20:4339,20:6289,20:7531,20:8754,20:8775,20:9135,20:9149,20:12652,20:13622,20:14991,20:15169"
critical12_p10_p22_drop_rank002_rank020,prompt_delta_top33,swap1_critical12_p10_p22_drop_rank002_rank020_drop_f12704_add_f5990,3,20,12704,17,20,5990,12,21,12,"20:1338,20:4339,20:5990,20:6289,20:8754,20:8775,20:9135,20:9149,20:12652,20:13622,20:14991,20:15169"
critical12_p10_p22_drop_rank002_rank020,prompt_delta_top33,swap1_critical12_p10_p22_drop_rank002_rank020_drop_f12704_add_f321,3,20,12704,18,20,321,12,21,12,"20:321,20:1338,20:4339,20:6289,20:8754,20:8775,20:9135,20:9149,20:12652,20:13622,20:14991,20:15169"
critical12_p10_p22_drop_rank002_rank020,prompt_delta_top33,swap1_critical12_p10_p22_drop_rank002_rank020_drop_f12704_add_f12313,3,20,12704,19,20,12313,12,21,12,"20:1338,20:4339,20:6289,20:8754,20:8775,20:9135,20:9149,20:12313,20:12652,20:13622,20:14991,20:15169"
critical12_p10_p22_drop_rank002_rank020,prompt_delta_top33,swap1_critical12_p10_p22_drop_rank002_rank020_drop_f12704_add_f1813,3,20,12704,20,20,1813,12,21,12,"20:1338,20:1813,20:4339,20:6289,20:8754,20:8775,20:9135,20:9149,20:12652,20:13622,20:14991,20:15169"
critical12_p10_p22_drop_rank002_rank020,prompt_delta_top33,swap1_critical12_p10_p22_drop_rank002_rank020_drop_f12704_add_f1100,3,20,12704,21,20,1100,12,21,12,"20:1100,20:1338,20:4339,20:6289,20:8754,20:8775,20:9135,20:9149,20:12652,20:13622,20:14991,20:15169"
critical12_p10_p22_drop_rank002_rank020,prompt_delta_top33,swap1_critical12_p10_p22_drop_rank002_rank020_drop_f8775_add_f12963,4,20,8775,1,20,12963,12,21,12,"20:1338,20:4339,20:6289,20:8754,20:9135,20:9149,20:12652,20:12704,20:12963,20:13622,20:14991,20:15169"
critical12_p10_p22_drop_rank002_rank020,prompt_delta_top33,swap1_critical12_p10_p22_drop_rank002_rank020_drop_f8775_add_f13060,4,20,8775,2,20,13060,12,21,12,"20:1338,20:4339,20:6289,20:8754,20:9135,20:9149,20:12652,20:12704,20:13060,20:13622,20:14991,20:15169"
critical12_p10_p22_drop_rank002_rank020,prompt_delta_top33,swap1_critical12_p10_p22_drop_rank002_rank020_drop_f8775_add_f6169,4,20,8775,3,20,6169,12,21,12,"20:1338,20:4339,20:6169,20:6289,20:8754,20:9135,20:9149,20:12652,20:12704,20:13622,20:14991,20:15169"
critical12_p10_p22_drop_rank002_rank020,prompt_delta_top33,swap1_critical12_p10_p22_drop_rank002_rank020_drop_f8775_add_f13882,4,20,8775,4,20,13882,12,21,12,"20:1338,20:4339,20:6289,20:8754,20:9135,20:9149,20:12652,20:12704,20:13622,20:13882,20:14991,20:15169"
critical12_p10_p22_drop_rank002_rank020,prompt_delta_top33,swap1_critical12_p10_p22_drop_rank002_rank020_drop_f8775_add_f9407,4,20,8775,5,20,9407,12,21,12,"20:1338,20:4339,20:6289,20:8754,20:9135,20:9149,20:9407,20:12652,20:12704,20:13622,20:14991,20:15169"
critical12_p10_p22_drop_rank002_rank020,prompt_delta_top33,swap1_critical12_p10_p22_drop_rank002_rank020_drop_f8775_add_f5355,4,20,8775,6,20,5355,12,21,12,"20:1338,20:4339,20:5355,20:6289,20:8754,20:9135,20:9149,20:12652,20:12704,20:13622,20:14991,20:15169"
critical12_p10_p22_drop_rank002_rank020,prompt_delta_top33,swap1_critical12_p10_p22_drop_rank002_rank020_drop_f8775_add_f3850,4,20,8775,7,20,3850,12,21,12,"20:1338,20:3850,20:4339,20:6289,20:8754,20:9135,20:9149,20:12652,20:12704,20:13622,20:14991,20:15169"
critical12_p10_p22_drop_rank002_rank020,prompt_delta_top33,swap1_critical12_p10_p22_drop_rank002_rank020_drop_f8775_add_f13854,4,20,8775,8,20,13854,12,21,12,"20:1338,20:4339,20:6289,20:8754,20:9135,20:9149,20:12652,20:12704,20:13622,20:13854,20:14991,20:15169"
critical12_p10_p22_drop_rank002_rank020,prompt_delta_top33,swap1_critical12_p10_p22_drop_rank002_rank020_drop_f8775_add_f7965,4,20,8775,9,20,7965,12,21,12,"20:1338,20:4339,20:6289,20:7965,20:8754,20:9135,20:9149,20:12652,20:12704,20:13622,20:14991,20:15169"
critical12_p10_p22_drop_rank002_rank020,prompt_delta_top33,swap1_critical12_p10_p22_drop_rank002_rank020_drop_f8775_add_f11414,4,20,8775,10,20,11414,12,21,12,"20:1338,20:4339,20:6289,20:8754,20:9135,20:9149,20:11414,20:12652,20:12704,20:13622,20:14991,20:15169"
critical12_p10_p22_drop_rank002_rank020,prompt_delta_top33,swap1_critical12_p10_p22_drop_rank002_rank020_drop_f8775_add_f12002,4,20,8775,11,20,12002,12,21,12,"20:1338,20:4339,20:6289,20:8754,20:9135,20:9149,20:12002,20:12652,20:12704,20:13622,20:14991,20:15169"
critical12_p10_p22_drop_rank002_rank020,prompt_delta_top33,swap1_critical12_p10_p22_drop_rank002_rank020_drop_f8775_add_f9001,4,20,8775,12,20,9001,12,21,12,"20:1338,20:4339,20:6289,20:8754,20:9001,20:9135,20:9149,20:12652,20:12704,20:13622,20:14991,20:15169"
critical12_p10_p22_drop_rank002_rank020,prompt_delta_top33,swap1_critical12_p10_p22_drop_rank002_rank020_drop_f8775_add_f9024,4,20,8775,13,20,9024,12,21,12,"20:1338,20:4339,20:6289,20:8754,20:9024,20:9135,20:9149,20:12652,20:12704,20:13622,20:14991,20:15169"
critical12_p10_p22_drop_rank002_rank020,prompt_delta_top33,swap1_critical12_p10_p22_drop_rank002_rank020_drop_f8775_add_f4326,4,20,8775,14,20,4326,12,21,12,"20:1338,20:4326,20:4339,20:6289,20:8754,20:9135,20:9149,20:12652,20:12704,20:13622,20:14991,20:15169"
critical12_p10_p22_drop_rank002_rank020,prompt_delta_top33,swap1_critical12_p10_p22_drop_rank002_rank020_drop_f8775_add_f11545,4,20,8775,15,20,11545,12,21,12,"20:1338,20:4339,20:6289,20:8754,20:9135,20:9149,20:11545,20:12652,20:12704,20:13622,20:14991,20:15169"
critical12_p10_p22_drop_rank002_rank020,prompt_delta_top33,swap1_critical12_p10_p22_drop_rank002_rank020_drop_f8775_add_f7531,4,20,8775,16,20,7531,12,21,12,"20:1338,20:4339,20:6289,20:7531,20:8754,20:9135,20:9149,20:12652,20:12704,20:13622,20:14991,20:15169"
critical12_p10_p22_drop_rank002_rank020,prompt_delta_top33,swap1_critical12_p10_p22_drop_rank002_rank020_drop_f8775_add_f5990,4,20,8775,17,20,5990,12,21,12,"20:1338,20:4339,20:5990,20:6289,20:8754,20:9135,20:9149,20:12652,20:12704,20:13622,20:14991,20:15169"
critical12_p10_p22_drop_rank002_rank020,prompt_delta_top33,swap1_critical12_p10_p22_drop_rank002_rank020_drop_f8775_add_f321,4,20,8775,18,20,321,12,21,12,"20:321,20:1338,20:4339,20:6289,20:8754,20:9135,20:9149,20:12652,20:12704,20:13622,20:14991,20:15169"
critical12_p10_p22_drop_rank002_rank020,prompt_delta_top33,swap1_critical12_p10_p22_drop_rank002_rank020_drop_f8775_add_f12313,4,20,8775,19,20,12313,12,21,12,"20:1338,20:4339,20:6289,20:8754,20:9135,20:9149,20:12313,20:12652,20:12704,20:13622,20:14991,20:15169"
critical12_p10_p22_drop_rank002_rank020,prompt_delta_top33,swap1_critical12_p10_p22_drop_rank002_rank020_drop_f8775_add_f1813,4,20,8775,20,20,1813,12,21,12,"20:1338,20:1813,20:4339,20:6289,20:8754,20:9135,20:9149,20:12652,20:12704,20:13622,20:14991,20:15169"
critical12_p10_p22_drop_rank002_rank020,prompt_delta_top33,swap1_critical12_p10_p22_drop_rank002_rank020_drop_f8775_add_f1100,4,20,8775,21,20,1100,12,21,12,"20:1100,20:1338,20:4339,20:6289,20:8754,20:9135,20:9149,20:12652,20:12704,20:13622,20:14991,20:15169"
critical12_p10_p22_drop_rank002_rank020,prompt_delta_top33,swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f12963,5,20,4339,1,20,12963,12,21,12,"20:1338,20:6289,20:8754,20:8775,20:9135,20:9149,20:12652,20:12704,20:12963,20:13622,20:14991,20:15169"
critical12_p10_p22_drop_rank002_rank020,prompt_delta_top33,swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13060,5,20,4339,2,20,13060,12,21,12,"20:1338,20:6289,20:8754,20:8775,20:9135,20:9149,20:12652,20:12704,20:13060,20:13622,20:14991,20:15169"
critical12_p10_p22_drop_rank002_rank020,prompt_delta_top33,swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f6169,5,20,4339,3,20,6169,12,21,12,"20:1338,20:6169,20:6289,20:8754,20:8775,20:9135,20:9149,20:12652,20:12704,20:13622,20:14991,20:15169"
critical12_p10_p22_drop_rank002_rank020,prompt_delta_top33,swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13882,5,20,4339,4,20,13882,12,21,12,"20:1338,20:6289,20:8754,20:8775,20:9135,20:9149,20:12652,20:12704,20:13622,20:13882,20:14991,20:15169"
critical12_p10_p22_drop_rank002_rank020,prompt_delta_top33,swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f9407,5,20,4339,5,20,9407,12,21,12,"20:1338,20:6289,20:8754,20:8775,20:9135,20:9149,20:9407,20:12652,20:12704,20:13622,20:14991,20:15169"
critical12_p10_p22_drop_rank002_rank020,prompt_delta_top33,swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f5355,5,20,4339,6,20,5355,12,21,12,"20:1338,20:5355,20:6289,20:8754,20:8775,20:9135,20:9149,20:12652,20:12704,20:13622,20:14991,20:15169"
