basis_kind,effective_rank,explained_fraction,explained_sq,layer,n_rows,rank,residual_total_sq
raw_pca,2,0.15146493106716033,3758.554931640625,22,164,2,24814.6875
raw_pca,4,0.24286769821930057,6026.68603515625,22,164,4,24814.6875
raw_pca,8,0.3607995438059617,8953.1279296875,22,164,8,24814.6875
raw_pca,16,0.5300998731220169,13154.2626953125,22,164,16,24814.6875
raw_pca,32,0.743185109625096,18441.90625,22,164,32,24814.6875
raw_pca,64,0.9386714962156989,23292.83984375,22,164,64,24814.6875
centered_pca,1,0.06609667530594951,1543.8900146484375,23,164,1,23358.05859375
centered_pca,2,0.11381703283278673,2658.544921875,23,164,2,23358.05859375
centered_pca,4,0.19154812737774687,4474.1923828125,23,164,4,23358.05859375
centered_pca,8,0.31517919571721686,7361.97412109375,23,164,8,23358.05859375
centered_pca,16,0.4994176929368762,11665.427734375,23,164,16,23358.05859375
centered_pca,32,0.723233065140962,16893.3203125,23,164,32,23358.05859375
centered_pca,64,0.9394957541921677,21944.796875,23,164,64,23358.05859375
raw_pca,1,0.12786889392610995,3391.47216796875,23,164,1,26523.04296875
raw_pca,2,0.18544335121921549,4918.52197265625,23,164,2,26523.04296875
raw_pca,4,0.2616070577780317,6938.615234375,23,164,4,26523.04296875
raw_pca,8,0.37789840467435526,10023.015625,23,164,8,26523.04296875
raw_pca,16,0.5457221823181758,14474.212890625,23,164,16,26523.04296875
raw_pca,32,0.7494238132260878,19877.0,23,164,32,26523.04296875
raw_pca,64,0.9442196415587331,25043.578125,23,164,64,26523.04296875
