delta_norm,delta_sq,group,layer,mask,n_prompts,pca_energy_fraction,pca_sq,residual_energy_fraction,residual_norm,residual_sq
8.270403744345401,68.39957809448242,heldout_original_residual,13,target,2,0.7474439279265391,51.12484931945801,0.25255604418807487,4.156287630527486,17.27472686767578
9.658542792940178,93.28744888305664,heldout_original_residual,14,target,2,0.748515840177438,69.82713317871094,0.2514849776597548,4.843592881146289,23.460391998291016
10.251817681640066,105.09976577758789,heldout_original_residual,15,target,2,0.7347875359516056,77.22599792480469,0.26521251849233973,5.279561873378236,27.8737735748291
12.883563702799083,165.98621368408203,heldout_original_residual,16,target,2,0.7378509841702195,122.47309112548828,0.26214892390172984,6.596446566129728,43.51310729980469
17.088342344762317,292.0114440917969,heldout_original_residual,17,target,2,0.7367892805146317,215.1509017944336,0.2632109089064047,8.767017600670917,76.86059761047363
20.38406825556324,415.51023864746094,heldout_original_residual,18,target,2,0.7398092988478264,307.3983383178711,0.2601902053914602,10.397677352944623,108.1116943359375
27.454518386487575,753.7505798339844,heldout_original_residual,19,target,2,0.7581885735068595,571.4850769042969,0.24181169978467462,13.500581799438862,182.26570892333984
28.159823276658827,792.9756469726562,heldout_original_residual,20,target,2,0.7198547303275457,570.8272705078125,0.2801452985361196,14.904643550015791,222.14839935302734
34.655564902493474,1201.0081787109375,heldout_original_residual,21,target,2,0.7107413723760525,853.606201171875,0.28925879914122443,18.63872805565645,347.40218353271484
39.11348859708598,1529.864990234375,heldout_original_residual,22,target,2,0.7234762884222289,1106.821044921875,0.27652405069189656,20.56804473233487,423.0444641113281
38.75388715382304,1501.86376953125,heldout_original_residual,23,target,2,0.7284454219805665,1094.0257873535156,0.27155465929865136,20.195001962070883,407.8381042480469
43.88907929927764,1926.2512817382812,heldout_original_residual,24,target,2,0.7383233763843327,1422.1963500976562,0.26167678204555866,22.451174508617722,504.05523681640625
6.621335293575329,43.84208106994629,stress_donor_failed,12,all,2,0.7830026237415262,34.32846450805664,0.21699744151593606,3.0844155723430973,9.513619422912598
6.863305844657483,47.10496711730957,stress_donor_failed,13,all,2,0.7837035176829623,36.91632843017578,0.21629658354567388,3.191965453369659,10.188643455505371
7.9705941254263015,63.53037071228027,stress_donor_failed,14,all,2,0.7956375981886268,50.54715156555176,0.20436334001847173,3.603231709364982,12.983278751373291
8.104537079361902,65.68352127075195,stress_donor_failed,15,all,2,0.7910965278649335,51.962005615234375,0.20890368992355393,3.7042583550060764,13.721529960632324
9.280231869530313,86.1227035522461,stress_donor_failed,16,all,2,0.7745981117575538,66.71048355102539,0.22540218722524036,4.405933017015493,19.412245750427246
11.488143281909128,131.97743606567383,stress_donor_failed,17,all,2,0.7867538755351497,103.83375930786133,0.21324631234190689,5.305063765247759,28.143701553344727
13.342060920248018,178.01058959960938,stress_donor_failed,18,all,2,0.7815084678669876,139.11678314208984,0.21849127497770893,6.236486244765745,38.893760681152344
17.842441170119624,318.3527069091797,stress_donor_failed,19,all,2,0.818057251294997,260.4307403564453,0.181942862539826,7.610650615575412,57.9220027923584
18.972696864662108,359.9632263183594,stress_donor_failed,20,all,2,0.7771160485872521,279.7332000732422,0.22288398320513936,8.957122176749014,80.23003768920898
23.86236717382984,569.4125671386719,stress_donor_failed,21,all,2,0.7774181980544964,442.67169189453125,0.22258186223970391,11.257926522073948,126.74090957641602
28.46634225891276,810.3326416015625,stress_donor_failed,22,all,2,0.8240455120291583,667.7509765625,0.1759549116521008,11.940770844539996,142.5820083618164
31.449995284087734,989.1022033691406,stress_donor_failed,23,all,2,0.8449324503505781,835.7245483398438,0.1550679276086771,12.384588360927824,153.3780288696289
36.79054981464755,1353.5445556640625,stress_donor_failed,24,all,2,0.840697984720204,1137.9221801757812,0.15930202655300388,14.684086309575761,215.6223907470703
7.366331404684931,54.26283836364746,stress_donor_failed,12,target,2,0.8138928633004158,44.16413688659668,0.18610710154940244,3.1778451141775537,10.098699569702148
7.855955316544696,61.716033935546875,stress_donor_failed,13,target,2,0.7881142539401704,48.639286041259766,0.21188563016519218,3.6161776424464738,13.076740741729736
