active_count,benign_delta_abs_mean,benign_delta_abs_sum,feature_id,group,harm_delta_abs_mean,harm_delta_abs_sum,harm_donor_mean,harm_minus_benign_delta_mean,layer,layers,rank
4.0,0.03101748511904762,2.60546875,8533,l19_tail,0.11857199367088607,9.3671875,0.11857199367088607,0.08755450855183845,19,19,74
3.0,0.0,0.0,9282,l19_tail,0.1183742088607595,9.3515625,0.0,0.1183742088607595,19,19,75
7.0,0.04868861607142857,4.08984375,7143,l19_tail,0.11832476265822785,9.34765625,0.0,0.06963614658679929,19,19,76
3.0,0.0,0.0,467,l19_tail,0.11807753164556962,9.328125,0.08554193037974683,0.11807753164556962,19,19,77
7.0,0.009486607142857142,0.796875,16218,l19_tail,0.11792919303797468,9.31640625,0.09276107594936708,0.10844258589511754,19,19,78
1.0,0.0,0.0,5030,l19_tail,0.11787974683544304,9.3125,0.11787974683544304,0.11787974683544304,19,19,79
2.0,0.0,0.0,144,l19_tail,0.11768196202531646,9.296875,0.17405063291139242,0.11768196202531646,19,19,80
4.0,0.03329613095238095,2.796875,2137,l19_tail,0.11758306962025317,9.2890625,0.0,0.08428693866787221,19,19,81
3.0,0.0,0.0,2295,l19_tail,0.11748417721518987,9.28125,0.11748417721518987,0.11748417721518987,19,19,82
2.0,0.0,0.0,12923,l19_tail,0.11738528481012658,9.2734375,0.0,0.11738528481012658,19,19,83
4.0,0.002232142857142857,0.1875,4666,l19_tail,0.11733583860759493,9.26953125,0.0,0.11510369575045207,19,19,84
8.0,0.061337425595238096,5.15234375,7569,l19_tail,0.11728639240506329,9.265625,0.0,0.055948966809825196,19,19,85
9.0,0.02074032738095238,1.7421875,16102,l19_tail,0.11728639240506329,9.265625,0.13182357594936708,0.09654606502411091,19,19,86
16.0,0.060314360119047616,5.06640625,15491,l19_tail,0.11728639240506329,9.265625,0.428154667721519,0.056972032286015675,19,19,87
7.0,0.028738839285714284,2.4140625,5347,l19_tail,0.11728639240506329,9.265625,0.0,0.088547553119349,19,19,88
4.0,0.0,0.0,15109,l19_tail,0.11708860759493671,9.25,0.14650909810126583,0.11708860759493671,19,19,89
7.0,0.03422619047619048,2.875,12935,l19_tail,0.11703916139240507,9.24609375,0.0,0.08281297091621459,19,19,90
