layer,model_a,model_b,n,row_cosine,split
10,matrix,abliterated,8,0.7935954332351685,arith
10,matrix,abliterated,8,0.7537126541137695,polite
11,matrix,abliterated,8,0.7278544902801514,harmful
11,matrix,abliterated,8,0.7143310904502869,benign
11,matrix,abliterated,8,0.7654287815093994,arith
11,matrix,abliterated,8,0.7262846827507019,polite
12,matrix,abliterated,8,0.7573562860488892,harmful
12,matrix,abliterated,8,0.7457912564277649,benign
12,matrix,abliterated,8,0.7932100296020508,arith
12,matrix,abliterated,8,0.757025420665741,polite
13,matrix,abliterated,8,0.7485477924346924,harmful
13,matrix,abliterated,8,0.74277663230896,benign
13,matrix,abliterated,8,0.7886084914207458,arith
13,matrix,abliterated,8,0.7286584973335266,polite
14,matrix,abliterated,8,0.8076022863388062,harmful
14,matrix,abliterated,8,0.8019449710845947,benign
14,matrix,abliterated,8,0.8361942768096924,arith
14,matrix,abliterated,8,0.7894496321678162,polite
15,matrix,abliterated,8,0.8068207502365112,harmful
15,matrix,abliterated,8,0.8154810070991516,benign
15,matrix,abliterated,8,0.820923924446106,arith
15,matrix,abliterated,8,0.7880262136459351,polite
16,matrix,abliterated,8,0.7940908074378967,harmful
16,matrix,abliterated,8,0.8087986707687378,benign
16,matrix,abliterated,8,0.8161253333091736,arith
16,matrix,abliterated,8,0.7737732529640198,polite
17,matrix,abliterated,8,0.7989621758460999,harmful
17,matrix,abliterated,8,0.8188432455062866,benign
17,matrix,abliterated,8,0.8080918788909912,arith
17,matrix,abliterated,8,0.7558923363685608,polite
18,matrix,abliterated,8,0.7902662754058838,harmful
18,matrix,abliterated,8,0.8367785215377808,benign
18,matrix,abliterated,8,0.80918949842453,arith
18,matrix,abliterated,8,0.7305658459663391,polite
19,matrix,abliterated,8,0.7910663485527039,harmful
19,matrix,abliterated,8,0.8437095880508423,benign
19,matrix,abliterated,8,0.7963201999664307,arith
19,matrix,abliterated,8,0.7077322006225586,polite
20,matrix,abliterated,8,0.77751624584198,harmful
20,matrix,abliterated,8,0.8430365920066833,benign
20,matrix,abliterated,8,0.7930421829223633,arith
20,matrix,abliterated,8,0.6817579865455627,polite
21,matrix,abliterated,8,0.7793793082237244,harmful
21,matrix,abliterated,8,0.8488797545433044,benign
21,matrix,abliterated,8,0.792309582233429,arith
21,matrix,abliterated,8,0.6846040487289429,polite
22,matrix,abliterated,8,0.7859302163124084,harmful
22,matrix,abliterated,8,0.8607386350631714,benign
22,matrix,abliterated,8,0.8018814921379089,arith
22,matrix,abliterated,8,0.6741007566452026,polite
23,matrix,abliterated,8,0.8161579370498657,harmful
23,matrix,abliterated,8,0.877582848072052,benign
23,matrix,abliterated,8,0.7932131290435791,arith
23,matrix,abliterated,8,0.7050437331199646,polite
24,matrix,abliterated,8,0.8040631413459778,harmful
24,matrix,abliterated,8,0.870333194732666,benign
24,matrix,abliterated,8,0.7851130366325378,arith
24,matrix,abliterated,8,0.6644301414489746,polite
25,matrix,abliterated,8,0.8334485292434692,harmful
25,matrix,abliterated,8,0.885556161403656,benign
25,matrix,abliterated,8,0.8028966784477234,arith
25,matrix,abliterated,8,0.7149772644042969,polite
26,matrix,abliterated,8,0.8558257818222046,harmful
26,matrix,abliterated,8,0.8971817493438721,benign
26,matrix,abliterated,8,0.8081623315811157,arith
26,matrix,abliterated,8,0.7586434483528137,polite
27,matrix,abliterated,8,0.6792231798171997,harmful
27,matrix,abliterated,8,0.6923650503158569,benign
27,matrix,abliterated,8,0.7440440654754639,arith
27,matrix,abliterated,8,0.6129218935966492,polite
0,math_slerp,abliterated,8,0.9176709055900574,harmful
0,math_slerp,abliterated,8,0.91837477684021,benign
0,math_slerp,abliterated,8,0.9180459976196289,arith
0,math_slerp,abliterated,8,0.9167817831039429,polite
1,math_slerp,abliterated,8,0.8970870971679688,harmful
1,math_slerp,abliterated,8,0.89444500207901,benign
1,math_slerp,abliterated,8,0.8994994163513184,arith
1,math_slerp,abliterated,8,0.8957355618476868,polite
2,math_slerp,abliterated,8,0.8512964844703674,harmful
2,math_slerp,abliterated,8,0.8401728868484497,benign
2,math_slerp,abliterated,8,0.8571209907531738,arith
2,math_slerp,abliterated,8,0.8552609086036682,polite
3,math_slerp,abliterated,8,0.79902184009552,harmful
3,math_slerp,abliterated,8,0.7882587313652039,benign
